שם הסוגיה,מספר חוקים
"הגבלת שכר טרחת עורך דין דיירים בהתחדשות עירונית",1
"הגבלת שכר טרחת עורכי דין בחובות נמוכים",1
"הגבלת שליטה של בנקים בסולקים בעלי היקף פעילות רחב",1
"הגבלת שמירת מידע וענישה על שימוש לרעה",1
"הגבלת שעות עבודה למתמחים ברפואה",1
"הגבלת שעות קשירת כלבים",1
"הגבלת תביעות כספיות נגד גופים קטנים",1
"הגבלת תביעות פיצויים ללא הוכחת נזק במחלוקות תמלוגים",1
"הגבלת תגמול כספי לתורמי זרע",1
"הגבלת תגמול משתנה והקמת קופה ייעודית לקיזוז הפסדים",1
"הגבלת תובענות ייצוגיות נגד עסקים זעירים",1
"הגבלת תחבורה ציבורית בימי מנוחה",1
"הגבלת תחולת דין תורה מול זכויות מגן חקוקות",1
"הגבלת תנאי שחרור הפוגעים בזכות ההפגנה",1
"הגבלת תניות אי-תחרות והעסקה מינימלית בחוזי עבודה",1
"הגבלת תעריף אגרת רישיון רכב",1
"הגבלת תעריפי חניה בבתי חולים",1
"הגבלת תעריפי נסיעה בקו שירות מקומי",1
"הגבלת תעריפי שינויים בדירות חדשות",1
"הגבלת תקופות כהונה לראשי רשויות מקומיות",1
"הגבלת תקופת הכהונה של ראש הממשלה",1
"הגבלת תקופת הכהונה של רבני עיר",1
"הגבלת תקופת כהונה לראשי ארגוני עובדים",1
"הגבלת תקופת כהונה של יועץ משפטי ברשות מקומית",1
"הגבלת תקופת כהונה של מנהלי בתי ספר",1
"הגבלת תקופת כהונה של מנהלי מחלקות בבתי חולים",1
"הגבלת תקרת חיוב בעסקאות צריכה מתמשכת",1
"הגבלת תרומות לעמותות ממקורות עקיפים של מדינות ללא יחסים דיפלומטיים",1
"הגבלת תשלום בעד טיפול בתביעה מול המוסד לביטוח לאומי",1
"הגבלת תשלום בעד טיפול בתביעות לגמלת סיעוד",1
"הגבלת תשלום בעד טיפול בתביעות לתגמולי ביטוח סיעודי",1
"הגבלת תשלום השתתפות עצמית על תרופות מרשם",1
"הגבלת תשלומים במזומן ואיסור התרת הוצאות",1
"הגדלת הייצוג הנשי באסיפה הבוחרת רבנים ראשיים",1
"הגדלת המענק השנתי למנטרלי צ'רנוביל ופטור מהיחשבות כהכנסה",1
"הגדלת הקצאות מים והזלת תעריפים לחקלאות בחבל תקומה",1
"הגדלת והרחבת הרכב האסיפה הבוחרת את הרבנים הראשיים",1
"הגדלת מסגרת התקציב לשנת 2024",1
"הגדלת מסגרת תקציב המדינה לשנת הכספים",1
"הגדלת מספר חברי הכנסת לסיעות הקואליציה",1
"הגדלת מענק לידה למשפחות ברוכות ילדים",1
"הגדלת מענק שנתי לניצולי שואה שעלו לאחר שנת 1953",1
"הגדלת סיוע במימון אזכרות למשפחות שכולות",1
"הגדלת פיצוי סטטוטורי ללא הוכחת נזק בעוולת הפליה",1
"הגדלת קצבאות ילדים",1
"הגדלת קצבאות ילדים ומענקי לידה והארכת גיל הזכאות",1
"הגדלת קצבת אזרח ותיק",1
"הגדלת קצבת ילדים בעונת החגים",1
"הגדלת קצבת ילדים למשרתים",1
"הגדלת תגמול המינימום למשרתים במילואים בחירום",1
"הגדלת תקציב המדינה לשנת הכספים",1
"הגדלת תקציב הסיוע למשפחות נפגעי תאונות דרכים ומנגנון העדכון שלו",1
"הגדלת תקציב הסיוע למשפחות נפגעי תאונות דרכים ועדכונו השנתי",1
"הגדלת תקציב משרד הביטחון",1
"הגדלת תקציב תשלום ריבית ועמלות",1
"הגדלת תקרת הגירעון בתקציב המדינה",1
"הגדלת תקרת הגירעון ומסגרת ההוצאה הממשלתית לשנת 2026",1
"הגדלת תקרת ההכנסה מעבודה למקבלי קצבת נכות (דיסריגארד)",1
"הגדלת תקרת ההפקדה השנתית בקופות גמל להשקעה",1
"הגדלת תשלום חודשי לפדויי שבי",1
"הגדרת אלימות במשפחה והכללת שליטה בכפייה ואלימות כלכלית",1
"הגדרת אלימות במשפחה והכללת שליטה בכפייה וילדים נפגעים",1
"הגדרת אסירים ביטחוניים כקבוצת שוויון נפרדת",1
"הגדרת אסירים ביטחוניים כקבוצת שוויון נפרדת ותנאי כליאתם",1
"הגדרת בני זוג וידועים בציבור כאלמנים של חללי צהל",1
"הגדרת גזענות בחוק הפלילי",1
"הגדרת גזענות והסתה כלפי האוכלוסייה החרדית",1
"הגדרת הורה שכול והכרה בהורים אומנים",1
"הגדרת היקף החריג לתפקידים דתיים בחוק שיווי זכויות האישה",1
"הגדרת הפליה בחקיקה כללית",1
"הגדרת הפליה מחמת נטייה מינית או זהות מגדרית בדין הכללי",1
"הגדרת הפליה מחמת נטייה מינית או זהות מגדרית בחוק הפרשנות",1
"הגדרת התקהלות אסורה עקב הנפת דגלים",1
"הגדרת זכאות ומתן סל שירותים לצעירים חסרי עורף משפחתי",1
"הגדרת חבל התקומה כאזור מיקוד לאומי",1
"הגדרת חבל התקומה כאזור מיקוד לאומי והקמת מינהלת תקומה",1
"הגדרת חבל התקומה כאזור מיקוד לאומי לשיקום מרחיב",1
"הגדרת חברת שכבה במבנים פירמידליים",1
"הגדרת חג המימונה כיום בחירה לעובדים",1
"הגדרת חוב המותר בניכוי משכר עבודה",1
"הגדרת יום זיכרון רשמי לנכבה ודרכי ציuנו",1
"הגדרת ייבוא וייצוא בלתי חוקי של נשק כעבירת טרור חמורה",1
"הגדרת כשירות לכהונה כרב באסיפה הבוחרת",1
"הגדרת כשירות לכהונת רב באסיפה הבוחרת",1
"הגדרת כשירות למינוי במצב של ווקום משפטי ברבנות הראשית",1
"הגדרת מדינות אויב ומדינות עוינות ומנגנון ההכרזה עליהן",1
"הגדרת מדינות תומכות טרור והכלים המדיניים והכלכליים נגדן",1
"הגדרת מהגרים בלתי חוקיים ואמצעי האכיפה נגדם",1
"הגדרת מחזיק בכלב בהקשר של פרויקטי לכידה, עיקור והשבה",1
"הגדרת מחיר מופרז וטורפני למונופול",1
"הגדרת מחלות נדירות והכללתן במנגנון המימון הממשלתי",1
"הגדרת מטרות הביטוח הלאומי",1
"הגדרת מיהו רב לעניין האסיפה הבוחרת",1
"הגדרת מצג כשרותי ואיסור סימון אלטרנטיבי",1
"הגדרת מקומות קדושים בחקיקה ראשית",1
"הגדרת נהיגה בהשפעת קנאביס כנהיגה בשכרות",1
"הגדרת נכס דיגיטלי בפקודת מס הכנסה",1
"הגדרת נסיבות מחמירות בעבירות הברחה",1
"הגדרת סוכן חוץ בעבירות ביטחון",1
"הגדרת סיעות אופוזיציה וכינון תפקיד ראש האופוזיציה ברשויות מקומיות",1
"הגדרת סירוב מתן שירות בבנקים עקב סנקציות זרות כסירוב בלתי סביר וקביעת פיצוי עונשי",1
"הגדרת סכסוך עבודה סביב שינויים מבניים במשק",1
"הגדרת עבודות מועדפות לחיילים משוחררים",1
"הגדרת עבירות המין ואיחודן תחת חוק עצמאי",1
"הגדרת עבירות מין מגדריות ואיחודן תחת עבירת האינוס",1
"הגדרת עבירות ניהול שירותי שמירה ללא רישיון כעבירות מקור לפי חוק איסור הלבנת הון",1
"הגדרת עבירות נשק חמורות כעבירות טרור",1
"הגדרת עבירת דמי חסות וקביעת עונשי מינימום",1
"הגדרת עבירת הפרת אמונים של עובד ציבור",1
"הגדרת עבירת מרמה והפרת אמונים של עובדי ציבור",1
"הגדרת פיקדונות ללא תנועה ואיסור גביית עמלות",1
"הגדרת צעירים חסרי עורף משפחתי ומנגנון זכאות לסל שירותים",1
"הגדרת קמעונאי גדול בחוק המזון והפארם",1
"הגדרת קמעונאי גדול בחוק התחרות במזון",1
"הגדרת רצועת עזה כאזור עוין ואיסור יחסי מסחר",1
"הגדרת רשות מקומית בחוקי פיתוח אזורי",1
"הגדרת תחומי פעילות ואחריות שרים",1
"הגדרת תינוקות באשפוז ממושך כקטינים נזקקים",1
"הגדרת תנאי סף והכרה חובה במסגרות חינוך לגיל הרך",1
"הגדרת תפקידי מפכ""ל המשטרה וכפיפותם להתוויית מדיניות השר",1
"הגדרת תפקידי סייעות במוסדות חינוך",1
"הגדרת תפקידים ואחריות מקצועית לתומכות חינוך",1
"הגדרת תפקידים שבחוק לסייעות במוסדות חינוך",1
"הגדרת תשלומי הרשות הפלסטינית למחבלים כאשרור מעשה טרור לעניין פקודת הנזיקין",1
"הגנה ופיצוי לחושפי שחיתות בעבודה",1
"הגנה חוקתית על הזכות לדיור",1
"הגנה מאחריות פלילית לאנשי כוחות ביטחון כנגד מתפרצים למתקנים צבאיים וביטחוניים",1
"הגנה מפני החזרת תגמול מילואים לעצמאים",1
"הגנה מפני הטרדה מינית לעצמאים, מתנדבים ועובדי פלטפורמה",1
"הגנה מפני עיקול על כספי סיוע ממשלתיים להורים עצמאיים",1
"הגנה מפני פיטורים והוצאה לחל״ת לבני זוג של משרתמיי מילואים",1
"הגנה מפני פיטורים ופגיעה בשכר לפצועי מילואים מאושפזים",1
"הגנה מפני פיטורים לבני ובנות זוג של משרתי מילואים",1
"הגנה מפני פיטורים לבני זוג של משרתי כוחות ביטחון ומילואים",1
"הגנה מפני פיטורים לבני משפחה שכולות",1
"הגנה מפני פיטורים לבני משפחה של חטופים, שבויים, נעדרים או הורים באומנה",1
"הגנה מפני פיטורים לבני משפחות שכולות",1
"הגנה מפני פיטורים לעובדים שהתפנו מבתיהם בשל מצב חירום",1
"הגנה מפני פיטורים לעובדים שפונו מבתיהם בשעת חירום",1
"הגנה מפני פיטורים עקב היעדרות להשגחה על ילד",1
"הגנה מפני תביעות השתקה",1
"הגנה מפני תביעות לשון הרע על הגשת תלונות לממונים ולרשויות",1
"הגנה משפטית גורפת לפתיחה באש על חשודים בטרור",1
"הגנה משפטית על חופש מהתאגדות",1
"הגנה משפטית על מעמד אתרים לאומיים ורגשות הציבור",1
"הגנה משפטית על תושבים ותיקים מפני הליכי סילוק יד",1
"הגנה על ביטחונם וזכויותיהם של מאושפזים פסיכיאטרים",1
"הגנה על בני זוג של משרתי מילואים מפני פיטורים",1
"הגנה על בתי כנסת ותיקים מפני שינוי ייעוד ושימוש במקרקעין",1
"הגנה על בתי תפילה ותיקים במקרקעין ציבוריים",1
"הגנה על דירוג אשראי במצב מיוחד בעורף",1
"הגנה על דירוג אשראי בתקופת משבר",1
"הגנה על הורים שילדם נפטר מפני פרישת חובה",1
"הגנה על הורים שילדם נפטר מפני פרישת חובה כהוראה קבועה",1
"הגנה על הקצאות קרקע למוסדות ציבור וחובת פיצוי בגין ביטולן",1
"הגנה על זכאות לדמי אבטלה למשרתי מילואים בחירום",1
"הגנה על זכויות ובטחון אישי של מאושפזים פסיכיאטריים",1
"הגנה על חולים במחלה ממארת מפני פיטורים והפליה",1
"הגנה על חולים במחלה ממארת מפני פיטורים והפליה בעבודה",1
"הגנה על חופש התארגנות ושביתה לעצמאים",1
"הגנה על חושפי שחיתויות במשטרה ובשירות בתי הסוהר",1
"הגנה על חושפי שחיתויות במשטרת ישראל",1
"הגנה על חייבים קשישים מפני עיקול מיטלטלין",1
"הגנה על טלפונים ניידים ומחשבים אישיים מפני עיקול",1
"הגנה על כספים המיועדים לצרכי קיום בסיסי מפני עיקול",1
"הגנה על מענקי חירום מפני עיקול",1
"הגנה על מענקי פיצוי ומקדמות מפני עיקולים ושעבודים",1
"הגנה על משרתי מילואים מפני פיטורים",1
"הגנה על משרתי מילואים מפני פיטורים לאחר שירות",1
"הגנה על משתתפים חופשיים (עצמאים תלויים) מפני סיום התקשרות עקב שירות מילואים",1
"הגנה על עובדות בהריון ובחופשה מפני פיטורים בתקופת חל""ת",1
"הגנה על עובדים מפני פיטורים בשעת חירום",1
"הגנה על עובדים מפני פיטורים עקב השגחה על ילדים במצב חירום",1
"הגנה על עולים חדשים מבוגרים מפני הונאות פיננסיות",1
"הגנה על עיתונאים מפני הטרדה מאיימת ופיצויים ללא הוכחת נזק",1
"הגנה על פיצויים מפני עיקול ושעבוד",1
"הגנה על פרטיות העובד בעבודה מרחוק",1
"הגנה על קטינים ומניעת חשיפה לתוכן פוגעני במרחב הדיגיטלי",1
"הגנה על קטינים מתוכן פוגעני באמצעות אומדן גיל באינטרנט",1
"הגנה על תקופת ההגנה מפני פיטורים בחל״ת",1
"הגנה על תשלומי ביטוח רפואי מפני עיקול",1
"הגנה על תשלומי קיום לחיילים ולמשרתי שירות לאומי-אזרחי עולים חדשים",1
"הגנה על תשלומים למשרתים בשירות אזרחי-לאומי ובשירות אזרחי מאת משרד העלייה והקליטה",1
"הגנה על תשלומים מאת משרד העלייה והקליטה לחיילים עולים מפני עיקול ושעבוד",1
"הגנה על תשלומים ממשלתיים לעולים חדשים המשרתים בשירות סדיר או אזרחי",1
"הגנה על תשתיות תת-ימיות וקווי גז מפני פעילות דיג",1
"הגנה עצמית בנסיבות של אלימות במשפחה",1
"הגנה עצמית מפני בקבוק תבערה",1
"הגנה פלילית והחמרת ענישה על תקיפת נהגי אוטובוס ציבורי",1
"הגנה פלילית לאנשי כוחות ביטחון הודפים פולשים למתקנים",1
"הגנה פלילית לאנשי כוחות ביטחון הודפים פולשים למתקנים ביטחוניים",1
"הגנה פלילית לאנשי כוחות הביטחון בהדיפת מסיגי גבול למתקנים ביטחוניים",1
"הגנה פלילית לחושפי שחיתות ומתריעים במערכת הביטחון",1
"הגנה פלילית לכוחות ביטחון הודפים חדירה למתקנים",1
"הגנה פלילית לנהגי אוטובוס ציבורי",1
"הגנה פלילית על התואר גננת",1
"הגנה פלילית על התואר גננת ואיסור התחזות",1
"הגנה פלילית על חיילי צה״ל מפני איסוף ומסירת מידע לרשויות זרות",1
"הגנה פלילית על חיילים מפני הפרעה והעלבדה",1
"הגנה פלילית על חיילים מפני הפרעה והעלבויות",1
"הגנה פלילית על מתחמי מורשת ועתיקות",1
"הגנה פלילית על נהגי אוטובוס ציבורי מפני תקיפה",1
"הגנה תעסוקתית לבני משפחה של פדויי שבי",1
"הגנות דיוניות ופרטיות לנפגעי עבירות מין ואלימות במשפחה בהליך אזרחי",1
"הגנות מפני אישום בהפרת אמונים לעובדי ציבור",1
"הגנות על קטינים נפגעי עבירה בהליך אזרחי",1
"הגנת כספי ביטוח רפואי מפני עיקול",1
"הגנת סטודנטים משרתי מילואים מפני הפסקת לימודים",1
"הגנת עצמאים ממילואים מפני חובות למוסד לביטוח לאומי",1
"הגנת פרטיות ושימוש במידע אישי בתעמולת בחירות",1
"הגנת קשישים בהליכי עיקול מיטלטלין",1
"הגנת תקציב הביטחון מפני קיצוצים רוחביים",1
"הגשת בקשה והכנת תכנית טיפול לקטינים מעל גיל 14 ללא הסכמת הורים",1
"הגשת רשימות מועמדים באופן ממוכן",1
"הדחת חבר כנסת מכהן בידי הכנסת",1
"הדחת חבר מועצה מכהן בשל תמיכה בטרור",1
"הדחת חברי הכנסת בידי חבריהם",1
"הדחת חברי כנסת בידי הכנסת",1
"הדחת נבחרי ציבור בשלטון המקומי",1
"הדחת נבחרי ציבור בשלטון המקומי התומכים במאבק מזוין או פועלים נגד המדינה",1
"הדחת נבחרי ציבור מחמת הפרת הבטחת בחירות",1
"הדחת נבחרי ציבור עקב הפרת הבטחת בחירות",1
"הדחת נבחרי רשויות מקומיות בשל פעילות נגד המדינה",1
"הדחת סגני ראשי רשויות וחברי מועצה המעורבים בפעילות נגד מדינת ישראל",1
"ההרכב והכשירות לכהונה בבית הדין המשמעתי לקאדים",1
"ההרכב של הוועדה לבדיקת מינויי דירקטורים",1
"הובלת אופניים בתחבורה ציבורית ללא תשלום",1
"הודעה מוקדמת והגבלת ביטול הרשאה לחיוב עקב היעדר יתרה",1
"הודעה מוקדמת ושקיפות במועד שחרור מנהלי",1
"הודעה מוקדמת על חובות ביטוח לאומי והפחתת קנסות",1
"הונאת תעודות רשמיות מונגשות לבעלי מוגבלות בראיה",1
"הונגשות תעודות רשמיות לבעלי מוגבלות בראיה",1
"הוספת ביטוי אישי בקדמת המצבה הצבאית",1
"הוספת גופים ציבוריים ומוסדות מדינה למערך ניוד המידע הרפואי",1
"הוספת דמויי כלי ירייה למשטר הרישוי והפיקוח",1
"הוספת דמי פיגורים לחייבים המשלמים בתשלומים",1
"הוספת חובת מסירת גיליון אלקטרוני ועיגון מבנה אחיד לתלוש שכר",1
"הוספת חובת ניהול פנקס נסיעות והטלת סנקציות פליליות בגין אי-תשלום דמי נסיעה",1
"הוספת חינוך פיננסי למטרות מערכת החינוך הממלכתית",1
"הוספת יחידות דיור בבנייה למניין תושבי הרשות המקומית",1
"הוספת ימי מחלה בשל מחלת ילד שאינם על חשבון מכסת העובד",1
"הוספת כיסאות גלגלים ממונעים לילדים לסל שירותי הבריאות",1
"הוספת לימודי פסיכומטרי למערכת החינוך העל-יסודי",1
"הוספת מבנה מחוזק כחריגה מותרת מתכנית",1
"הוספת מגנזיום למי שתייה מותפלים",1
"הוספת מנגנון התראה מינהלית באכיפת דיני מקורות אנרגיה",1
"הוספת מניעת חרם חברתי לחוק זכויות התלמיד",1
"הוספת סמלים דתיים לשטרי כסף",1
"הוספת עבירות סחר בערכי טבע כמקור להלבנת הון",1
"הוספת עבירות רישוי שירותי שמירה לעבירות המקור בחוק איסור הלבנת הון",1
"הוספת פסקת התגברות לחוק יסוד כבוד האדם וחירותו",1
"הוספת פסקת התגברות לחוק-יסוד: כבוד האדם וחירותו",1
"הוספת קנבוס רפואי לסל שירותי הבריאות",1
"הוספת שוויון מגדרי למטרות החינוך הממלכתי",1
"הוספת תנאי זכייה באזורי בחירה כתנאי לכניסה לכנסת",1
"הוקרה והכרה רשמית לחיילי מילואים מצטיינים",1
"הוקרה ממלכתית לאזרחים נושאי נשק שהצילו חיים",1
"הוראות אפוטרופסות לנפגעי כתות פוגעניות",1
"הוראות מיוחדות לתכנון ובנייה מואצות בחבל תקומה",1
"הוראות מעבר ודרישת לימודי השלמה לבעלי תואר אקדמי מהרשות הפלסטינית",1
"הוראות מעבר וסמכויות דיון בתוכניות תלויות ועומדות",1
"הוראות פתיחה באש במרחב חיץ גבולי",1
"הוראת חינוך פיננסי ואוריינות פיננסית בבתי הספר",1
"הוראת מורשת יהדות ברית המועצות לשעבר במערכת החינוך",1
"הוראת מורשת יהודי ברית המועצות לשעבר בחינוך הממלכתי",1
"הוראת עקרונות מגילת העצמאות במערכת החינוך",1
"הוראת קבע לחוק מניעת פגיעת גוף שידורים זר",1
"הוראת שעה ומנגנון הארכה",1
"הוראת שעה לעניין שיווק בפועל של ציוד רפואי מהאיחוד האירופי",1
"הוראת שעה לעניין שימוש בפרטי גישה של לקוחות שהם תאגידים",1
"הורדת גיל הזכאות למענק עבודה",1
"הורדת הרף הכמותי למיזמי תשתית תיירות",1
"הורדת סף שבוע היריון להגדרת לידה",1
"הורדת רף ההסתברות בעבירות הסתה לטרור",1
"הורדת רף היסוד הנפשי בעבירת הסתה לגזענות",1
"הורדת רף כמות הפעוטות לתחולת פיקוח על מעונות יום",1
"הורדת רף שבוע ההיריון להגדרת לידה וזכויות סוציאליות בלידה שקטה",1
"הורדת רף שבוע ההריון המזכה בדמי לידה במקרה של לידה שקטה",1
"הורדת רף תחולת הפיקוח הממשלתי על מסגרות לגיל הרך",1
"הורשה והעברת זכויות פיצוי במקרקעין",1
"הזכות לחינוך ומניעת אפליה ברישום לילדים בהשמה חוץ-ביתית",1
"הזכות לחינוך ושיוויון ברישום למוסדות חינוך לילדים במסגרות חוץ-ביתיות",1
"הזנה בכפייה לאסירים שובתי רעב",1
"הזנה ממלכתית לנוער בסיכון בחינוך העל-יסודי",1
"הזנת תלמידים בבתי ספר על-יסודיים לנוער בסיכון",1
"החлаה הדרגתית של חוקים ותכניות סיוע",1
"החזקת בעלי חיים וניודם במוסדות חינוך ותרבות",1
"החזקת גופות מחבלים כקלף מיקוח",1
"החזקת מכשיר פריצה אלקטרוני לכלי רכב",1
"החזקת מכשיר פריצה אלקטרונית לכלי רכב",1
"החזקת רכב מנועי וזכאות להבטחת הכנסה",1
"החזקת תשמישי קדושה וקיום מצוות בידי אסירים ועצירים",1
"החזר אגרה עקב עומסי תנועה והאטה בכבישי אגרה",1
"החזר אגרת אמבולנס ללא אשפוז",1
"החזר אובדן הכנסה לבני משפחה של נכים תקופת אשפוז ולאחריה",1
"החזר בגין אובדן הכנסה לבני משפחה של נכים משוחררי אשפוז",1
"החזר דמי נסיעה באמבולנס לאזרחים ותיקים שלא אושפזו",1
"החזר דמי נסיעה באמבולנס לגיל פרישה",1
"החזר דמי נסיעה באמבולנס לחולים פטורים וחולים סיעודיים",1
"החזר הוצאות אמבולנס לאזרחים ותיקים שלא אושפזו",1
"החזר הוצאות אמבולנס למטופלי בריאות הנפש ללא אשפוז",1
"החזר הוצאות בגין נישואין אזרחיים בחוץ לארץ",1
"החזר הוצאות ואכיפה מנהלית על שירותי בריאות שנרכשו בדחיפות טרם החלטת הנציב",1
"החזר הוצאות לקרובי משפחה של פדויי שבי מאושפזים או הזקוקים להשגחה",1
"החזר הוצאות לקרובים המלווים פדויי שבי מאושפזים או נזקקי השגחה",1
"החזר הוצאות מועמדים וסיעות עקב דחיית בחירות",1
"החזר הוצאות נישואין אזרחיים בחוץ לארץ",1
"החזר הוצאות נסיעה באמבולנס למטופלי בריאות הנפש ללא דרישת אשפוז",1
"החזר הוצאות נסיעה במונית לבית חולים",1
"החזר הוצאות נסיעה לטיפולים רפואיים",1
"החזר הוצאות נסיעה לטיפולים רפואיים מצילי חיים",1
"החזר הוצאות נסיעה לטיפולים רפואיים מצילים חיים",1
"החזר הוצאות פינוי באמבולנס לחולים שנפטרו טרם אשפוז ולחולים סיעודיים קשישים",1
"החזר הוצאות פינוי באמבולנס למבוטחים שנפטרו טרם אשפוז",1
"החזר הוצאות פינוי באמבולנס למטופלים שנפטרו או לקשישים סיעודיים",1
"החזר הוצאות פינוי באמבולנס למתמודדי נפש",1
"החזר הוצאות פינוי באמבולנס למתמודדי נפש שלא אושפזו",1
"החזר הוצאות פינוי לבית חולים במונית",1
"החזר הוצאות רטרואקטיבי בגין טיפול במכורים",1
"החזר הוצאות רפואיות בדיעבד במצבי חירום",1
"החזר כספי בגין עומס בכבישי אגרה",1
"החזר מע״מ בגין בניית מרחב מוגן",1
"החזר שכר לימוד בגין שעות לימוד שלא התקיימו עקב שביתה",1
"החזר תגמול מילואים לעצמאים עקב ירידה בהכנסות",1
"החזרי מס רכישה לציוד לעיוורים",1
"החזרת מפוני בירעם ואיקרית לבתיהם",1
"החזרת סמכויות משק המים לרשויות המקומיות",1
"החלטה מקדמית והבטחת ודאות תכנונית בפרויקטים של חיזוק מבנים",1
"החלטה מקדמית ווודאות תכנונית לפרויקטים של חיזוק מבנים",1
"החלפת המונח בית חולים לבית רפואה בחקיקה",1
"החלפת המונח נכה במונח אדם עם מוגבלות בחקיקת הביטוח הלאומי",1
"החלפת מונח הבעילה במונח חדירה בעבירות מין",1
"החלפת רישום סימן מסחר לאומי ברישום בין־לאומי באופן חלקי",1
"החלת אחריות פלילית ועבירות על הפרת איסורי בעלי חיים",1
"החלת איסור הטרדה מינית והסדרי הגנה על עובדים עצמאים ועובדי כלכלת פלטפורמה",1
"החלת איסור הטרדה מינית על נותני שירותים חיוניים לציבור",1
"החלת איסור הטרדה מינית על עובדים עצמאים ועובדי פלטפורמה",1
"החלת איסור הטרדה מינית על עצמאים, פלטפורמות ומתנדבים",1
"החלת איסור הפליה על רשתות חברתיות",1
"החלת ביקורת מבקר המדינה על יד ושם",1
"החלת דיני התחרות על ענף החקלאות",1
"החלת דיני חוזה סוכנות מסחרי על יחסים בין מבטח לסوכן",1
"החלת דיני חיפוש מחשב על טלפון סלולרי",1
"החלת דיני טוהר מידות ומגבלות ניגוד עניינים על חברי ועדה מייעצת",1
"החלת דיני קרקעות ותכנון ובנייה ישראליים ביהודה והשומרון",1
"החלת דיני שעות עבודה ומנוחה על עובדים זמניים ומשרות חלקיות",1
"החלת דינים והסדרת ניגודי עניינים במועצה להסדר הימורים",1
"החלת הדין האזרחי ותקופת המתנה על בני זוג רשומים",1
"החלת הדין הישראלי ודיני העונשין על האזורים הימיים והמתקנים בהם",1
"החלת הדין הישראלי על יישובים ביהודה ושומרון",1
"החלת המשפט הישראלי על שטחים ביהודה ושומרון",1
"החלת הריבונות הישראלית בבקעת הירדן",1
"החלת הריבונות הישראלית על יישובים בבקעת הירדן",1
"החלת הריבונות הישראלית על יישובים ביהודה ושומרון",1
"החלת הריבונות והדין הישראלי על יישובים ישראליים ביהודה ושומרון",1
"החלת התאמות והגנות בעדות קטינים בני 14 עד 15",1
"החלת זכויות עובדים על עצמאים תלויים",1
"החלת זכויות עובדים על עצמאים תלויים (משתתפים חופשיים)",1
"החלת זכויות קצבה והשוואת תנאים רטרואקטיבית לשארי חללי מילואים",1
"החלת זכויות קצבה רטרואקטיביות לשארי חללי מילואים",1
"החלת חובות דיווח ופיקוח על מפעלי מיון פסולת",1
"החלת חובות דיווח ופיקוח על מפעלי מתקני מיון פסולת",1
"החלת חובות הגנת הצרכן בעסקאות מתמשכות על גופים פיננסיים ובנקאיים",1
"החלת חובות הגנת צרכן בעסקאות קצובות על המגזר הפיננסי והבנקאי",1
"החלת חובות למניעת הטרדה מינית במוסדות חינוך קטינים",1
"החלת חובת הערכת השפעת רגולציה על תחום המיסים והאגרות",1
"החלת חובת התקנת מצלמות בגני ילדים",1
"החלת חובת התקנת מצלמות גם על גני ילדים",1
"החלת חוק הפיקוח על מעונות יום קטנים",1
"החלת חוק הרשות לפיתוח הנגב על יהודה ושומרון",1
"החלת חוק התכנון והבנייה באזור יהודה והשומרון",1
"החלת חוק זכויות החולה על פרמדיקים",1
"החלת חוק זכויות נפגעי עבירה בבתי משפט צבאיים",1
"החלת חוק זכויות נפגעי עבירה על בתי משפט צבאיים",1
"החלת חוק חופש המידע על ארגוני עובדים",1
"החלת חוק טיפול בחולי נפש על מתמכרים פסיכוטיים",1
"החלת חוק יום חינוך ארוך",1
"החלת חוק יסוד: משאל עם על יהודה ושומרון והמים הטריטוריאליים",1
"החלת חוק שעות עבודה ומנוחה על עובדי רשות הכבאות",1
"החלת חוקי מגן על אנשי צוות בהפקות המועסקים כקבלנים",1
"החלת חוקי קיום מצוות שמיטה ביהודה ושומרון",1
"החלת חקיקת הכנסת באזור יהודה והשומרון באמצעות צו אלוף",1
"החלת חקיקת הכנסת על יהודה ושומרון באמצעות צווים צבאיים",1
"החלת חקיקת מגן חברתית על עצמאים",1
"החלת חקיקת צער בעלי חיים באזור יהודה והשומרון",1
"החלת חקיקת תשתיות לאומיות באזור יהודה והשומרון",1
"החלת מגבלות מנהליות על גופים ואנשים בעלי זיקה לעוסק מפר",1
"החלת מנגנוני צדק חלוקתי מוניציפלי מעבר לקו הירוק",1
"החלת מנגנוני צדק חלוקתי מוניציפלי על רשויות מעבר לקו הירוק",1
"החלת מס בשיעור אפס על תרופות",1
"החלת מס יסף על מכירת דירות מגורים יוקרתיות",1
"החלת סמכויות אכיפה על רכישת שירותי בריאות דחופים טרם הכרעת נציב הקבילות",1
"החלת סמכות רשות העתיקות על יהודה והשומרון",1
"החלת עבירת תקיפת עובד ציבור על נהגי אוטובוס",1
"החלת רגולציית תחרות על רשתות פארם ומוצרי צריכה",1
"החלת רגולציית תחרות של שוק המזון על ענף מוצרי הצריכה ורשתות הפארם",1
"החלת ריבונות ישראלית באזור יהודה ושומרון",1
"החלת ריבונות ישראלית בבקעת הירדן וצפון ים המלח",1
"החלת ריבונות ישראלית ביהודה ושומרון ובבקעת הירדן",1
"החלת ריבונות ישראלית בשטחים",1
"החלת ריבונות ישראלית ודיני המדינה על שטחי יהודה ושומרון",1
"החלת ריבונות ישראלית וסמכויות ניהול במערת המכפלה",1
"החלת ריבונות ישראלית וסמכויות ניהול במתחם קבר יוסף",1
"החלת ריבונות ישראלית על בקעת הירדן",1
